CIE10,Descripción Diagnóstico,Cantidad,Genero,Período de consulta
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,2,F,01/01/2019-31/12/2020
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
A060,DISENTERIA AMEBIANA AGUDA,1,F,01/01/2019-31/12/2020
A064,ABSCESO AMEBIANO DEL HIGADO,1,F,01/01/2019-31/12/2020
A069,"AMEBIASIS, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
A083,OTRAS ENTERITIS VIRALES,1,F,01/01/2019-31/12/2020
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,1,F,01/01/2019-31/12/2020
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,1044,F,01/01/2019-31/12/2020
A153,"TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS",1,F,01/01/2019-31/12/2020
A418,OTRAS SEPTICEMIAS ESPECIFICADAS,5,F,01/01/2019-31/12/2020
A419,"SEPTICEMIA, NO ESPECIFICADA",14,F,01/01/2019-31/12/2020
A449,"BARTONELOSIS, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
A46X,ERISIPELA,1,F,01/01/2019-31/12/2020
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,1,F,01/01/2019-31/12/2020
A490,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN",2,F,01/01/2019-31/12/2020
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,2,F,01/01/2019-31/12/2020
A499,"INFECCION BACTERIANA, NO ESPECIFICADA",3,F,01/01/2019-31/12/2020
A509,"SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN",1,F,01/01/2019-31/12/2020
A600,INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE],2,F,01/01/2019-31/12/2020
A689,"FIEBRE RECURRENTE, NO ESPECIFICADA",2,F,01/01/2019-31/12/2020
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE,1,F,01/01/2019-31/12/2020
A829,"RABIA, SIN OTRA ESPECIFICACION",5,F,01/01/2019-31/12/2020
A90X,FIEBRE DEL DENGUE [DENGUE CLASICO],330,F,01/01/2019-31/12/2020
A91X,FIEBRE DEL DENGUE HEMORRAGICO,45,F,01/01/2019-31/12/2020
A928,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS,1,F,01/01/2019-31/12/2020
A929,"FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION",13,F,01/01/2019-31/12/2020
B001,DERMATITIS VESICULAR HERPETICA,1,F,01/01/2019-31/12/2020
B002,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA,8,F,01/01/2019-31/12/2020
B005,OCULOPATIA HERPETICA,1,F,01/01/2019-31/12/2020
B019,VARICELA SIN COMPLICACIONES,16,F,01/01/2019-31/12/2020
B023,HERPES ZOSTER OCULAR,7,F,01/01/2019-31/12/2020
B028,HERPES ZOSTER CON OTRAS COMPLICACIONES,2,F,01/01/2019-31/12/2020
B029,HERPES ZOSTER SIN COMPLICACIONES,11,F,01/01/2019-31/12/2020
B082,EXANTEMA SUBITO [SEXTA ENFERMEDAD],10,F,01/01/2019-31/12/2020
B088,"OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",1,F,01/01/2019-31/12/2020
B09X,"INFECCION VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",2,F,01/01/2019-31/12/2020
B150,"HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO",14,F,01/01/2019-31/12/2020
B178,OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS,3,F,01/01/2019-31/12/2020
B199,HEPATITIS VIRAL NO ESPECIFICADA SIN COMA,5,F,01/01/2019-31/12/2020
B203,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES VIRALES",1,F,01/01/2019-31/12/2020
B24X,"ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACION",2,F,01/01/2019-31/12/2020
B269,"PAROTIDITIS, SIN COMPLICACIONES",3,F,01/01/2019-31/12/2020
B338,OTRAS ENFERMEDADES VIRALES ESPECIFICADAS,1,F,01/01/2019-31/12/2020
B342,"INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION",3,F,01/01/2019-31/12/2020
B349,"INFECCION VIRAL, NO ESPECIFICADA",153,F,01/01/2019-31/12/2020
B359,"DERMATOFITOSIS, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
B370,ESTOMATITIS CANDIDIASICA,2,F,01/01/2019-31/12/2020
B373,CANDIDIASIS DE LA VULVA Y DE LA VAGINA (N77.1*),1,F,01/01/2019-31/12/2020
B378,CANDIDIASIS DE OTROS SITIOS,1,F,01/01/2019-31/12/2020
B551,LEISHMANIASIS CUTANEA,1,F,01/01/2019-31/12/2020
B580,OCULOPATIA DEBIDA A TOXOPLASMA,1,F,01/01/2019-31/12/2020
B589,"TOXOPLASMOSIS, NO ESPECIFICADA",3,F,01/01/2019-31/12/2020
B829,"PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION",3,F,01/01/2019-31/12/2020
B86X,ESCABIOSIS,5,F,01/01/2019-31/12/2020
B870,MIASIS CUTANEA,1,F,01/01/2019-31/12/2020
B871,MIASIS EN HERIDAS,1,F,01/01/2019-31/12/2020
B872,MIASIS OCULAR,2,F,01/01/2019-31/12/2020
B879,"MIASIS, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C068,LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA,3,F,01/01/2019-31/12/2020
C109,"TUMOR MALIGNO DE LA OROFARINGE, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C130,TUMOR MALIGNO DE LA REGION POSTCRICOIDEA,1,F,01/01/2019-31/12/2020
C151,"TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA",1,F,01/01/2019-31/12/2020
C153,TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO,1,F,01/01/2019-31/12/2020
C160,TUMOR MALIGNO DEL CARDIAS,1,F,01/01/2019-31/12/2020
C161,TUMOR MALIGNO DEL FUNDUS GASTRICO,1,F,01/01/2019-31/12/2020
C162,TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO,3,F,01/01/2019-31/12/2020
C169,"TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C180,TUMOR MALIGNO DEL CIEGO,1,F,01/01/2019-31/12/2020
C182,TUMOR MALIGNO DEL COLON ASCENDENTE,1,F,01/01/2019-31/12/2020
C189,"TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA",2,F,01/01/2019-31/12/2020
