Municipio,Sector,Estrato,Cargo Fijo,Consumo Basico,Consumo Complementario y Suntuario,Año
Bucaramanga,Residencial,1,2276.00,649.00,1297.00,2016
Bucaramanga,Residencial,2,3186.00,908.00,1297.00,2016
Bucaramanga,Residencial,3,4096.00,1167.00,1297.00,2016
Bucaramanga,Residencial,4,4551.00,1297.00,1297.00,2016
Bucaramanga,Residencial,5,6827.00,1946.00,1946.00,2016
Bucaramanga,Residencial,6,7282.00,2075.00,2075.00,2016
Floridablanca,Residencial,1,2503.00,713.00,1297.00,2016
Floridablanca,Residencial,2,3186.00,908.00,1297.00,2016
Floridablanca,Residencial,3,4324.00,1232.00,1297.00,2016
Floridablanca,Residencial,4,4551.00,1297.00,1297.00,2016
Floridablanca,Residencial,5,6827.00,1946.00,1946.00,2016
Floridablanca,Residencial,6,7282.00,2075.00,2075.00,2016
Giron,Residencial,1,3186.00,3187.00,6373.00,2016
Giron,Residencial,2,3641.00,3643.00,7284.00,2016
Giron,Residencial,3,4096.00,4099.00,8195.00,2016
Giron,Residencial,4,4551.00,4555.00,9107.00,2016
Giron,Residencial,5,6827.00,6832.00,13659.00,2016
Giron,Residencial,6,7282.00,7288.00,14570.00,2016
Bucaramanga,Residencial,1,2730.00,787.00,1573.00,2017
Bucaramanga,Residencial,2,3821.00,1101.00,1573.00,2017
Bucaramanga,Residencial,3,4913.00,1416.00,1573.00,2017
Bucaramanga,Residencial,4,5459.00,1573.00,1573.00,2017
Bucaramanga,Residencial,5,8189.00,2360.00,2360.00,2017
Bucaramanga,Residencial,6,8734.00,2517.00,2517.00,2017
Floridablanca,Residencial,1,3002.00,865.00,1573.00,2017
Floridablanca,Residencial,2,3821.00,1101.00,1573.00,2017
Floridablanca,Residencial,3,5186.00,1494.00,1573.00,2017
Floridablanca,Residencial,4,5459.00,1573.00,1573.00,2017
Floridablanca,Residencial,5,8189.00,2360.00,2360.00,2017
Floridablanca,Residencial,6,8734.40,2517.00,2517.00,2017
Giron,Residencial,1,3821.30,1101.00,1573.00,2017
Giron,Residencial,2,4367.20,1258.00,1573.00,2017
Giron,Residencial,3,4913.10,1416.00,1573.00,2017
Giron,Residencial,4,5459.00,1573.00,1573.00,2017
Giron,Residencial,5,8188.50,2360.00,2360.00,2017
Giron,Residencial,6,8734.40,2517.00,2517.00,2017
Bucaramanga,Residencial,1,2832.93,813.52,1627.04,2018
Bucaramanga,Residencial,2,3966.10,1138.93,1627.04,2018
Bucaramanga,Residencial,3,5099.27,1464.33,1627.04,2018
Bucaramanga,Residencial,4,5665.86,1627.04,1627.04,2018
Bucaramanga,Residencial,5,8498.79,2440.56,2440.56,2018
Bucaramanga,Residencial,6,9065.37,2603.26,2603.26,2018
Floridablanca,Residencial,1,3116.22,894.87,1627.04,2018
Floridablanca,Residencial,2,3966.10,1138.93,1627.04,2018
Floridablanca,Residencial,3,5382.56,1545.69,1627.05,2018
Floridablanca,Residencial,4,5665.86,1627.04,1627.06,2018
Floridablanca,Residencial,5,8498.79,2440.56,2440.56,2018
Floridablanca,Residencial,6,9065.37,2603.26,2603.26,2018
Giron,Residencial,1,3966.10,1138.93,1627.04,2018
Giron,Residencial,2,4532.69,1301.63,1627.05,2018
Giron,Residencial,3,5099.27,1464.33,1627.06,2018
Giron,Residencial,4,5665.86,1627.07,1627.07,2018
Giron,Residencial,5,8498.79,2440.56,2440.56,2018
Giron,Residencial,6,9065.37,2603.26,2603.26,2018
Bucaramanga,Residencial,1,2884.24,862.91,1725.82,2019
Bucaramanga,Residencial,2,4037.94,1208.07,1725.82,2019
Bucaramanga,Residencial,3,5191.63,1553.24,1725.82,2019
Bucaramanga,Residencial,4,5768.48,1725.82,1725.82,2019
Bucaramanga,Residencial,5,8652.72,2588.73,2761.31,2019
Bucaramanga,Residencial,6,9229.57,2761.31,2761.31,2019
Floridablanca,Residencial,1,3172.66,949.20,1725.82,2019
Floridablanca,Residencial,2,4037.94,1208.07,1725.82,2019
Floridablanca,Residencial,3,5768.06,1639.53,1725.82,2019
Floridablanca,Residencial,4,5768.48,1725.82,1725.82,2019
Floridablanca,Residencial,5,8652.72,2588.73,2588.73,2019
Floridablanca,Residencial,6,9229.57,2761.31,2761.31,2019
Girón,Residencial,1,4037.94,1208.07,1725.82,2019
Girón,Residencial,2,4614.78,1380.66,1380.66,2019
Girón,Residencial,3,5191.63,1553.24,1725.82,2019
Girón,Residencial,4,5768.48,1725.82,1725.82,2019
Girón,Residencial,5,8652.72,2588.73,2588.73,2019
Girón,Residencial,6,9229.57,0.00,0.00,2.019
